日期,收盘价,净值,估值,溢价率
5/6/2024,1.3190,1.2630,33.7215,5.8757%
5/7/2024,1.3330,1.2609,33.7339,5.2424%
5/8/2024,1.3210,1.2609,33.6943,4.7997%
5/9/2024,1.3140,1.2585,33.6883,4.2278%
5/10/2024,1.3240,1.2629,33.7404,5.2297%
5/13/2024,1.3260,1.2669,33.8515,4.9715%
5/14/2024,1.3230,1.2789,34.1241,4.4364%
5/15/2024,1.3520,1.3073,34.8074,5.7076%
5/16/2024,1.4050,1.3041,34.7642,7.3831%
5/17/2024,1.4060,1.3011,34.7368,7.7808%
5/20/2024,1.4290,1.3161,35.0916,9.8808%
5/21/2024,1.4620,1.3177,35.1884,11.0183%
5/22/2024,1.4570,1.3179,34.1264,10.6050%
5/23/2024,1.4800,1.3239,34.1720,12.3169%
5/24/2024,1.4100,1.3400,34.6128,6.5116%
5/27/2024,1.4640,1.3397,34.6128,9.1967%
5/28/2024,1.4810,1.3571,35.0598,10.5224%
5/29/2024,1.4760,1.3496,34.9204,8.7133%
5/30/2024,1.4530,1.3228,34.2065,7.6934%
5/31/2024,1.4480,1.3185,34.1611,9.5725%
6/3/2024,1.4740,1.3303,34.4863,11.7683%
6/4/2024,1.4640,1.3332,34.5892,9.9925%
6/5/2024,1.4770,1.3714,35.4867,10.7695%
6/6/2024,1.5370,1.3668,35.4197,11.9528%
6/7/2024,1.5480,1.3663,35.3575,13.2904%
6/11/2024,1.5660,1.3913,36.0603,13.9241%
6/12/2024,1.6090,1.4193,36.8815,15.6057%
6/13/2024,1.6220,1.4339,37.0836,14.1691%
6/14/2024,1.6570,1.4450,37.2982,15.4865%
6/17/2024,1.7090,1.4605,37.6652,18.2863%
6/18/2024,1.7270,1.4638,37.6506,18.1744%
6/19/2024,1.6750,1.4639,37.6506,14.4204%
6/20/2024,1.7390,1.4434,37.2128,18.8004%
6/21/2024,1.6840,1.4329,37.0423,16.7984%
6/24/2024,1.6750,1.4063,36.4754,16.9366%
6/25/2024,1.6190,1.4309,37.2544,15.0266%
6/26/2024,1.7020,1.4351,37.2341,18.8630%
6/27/2024,1.6810,1.4367,37.2710,17.1510%
6/28/2024,1.7110,1.4292,36.9019,19.1172%
7/1/2024,1.7170,1.4424,37.3350,20.1624%
7/2/2024,1.6970,1.4541,37.6135,17.5859%
7/3/2024,1.6730,1.4730,38.0876,15.0461%
7/4/2024,1.6600,1.4729,38.0876,12.6493%
7/5/2024,1.6590,1.4889,38.6041,12.6273%
7/8/2024,1.7010,1.4954,38.6905,14.1611%
7/9/2024,1.7360,1.4959,38.7274,16.0583%
7/10/2024,1.7280,1.5174,39.3336,15.5466%
7/11/2024,1.7690,1.4741,38.1186,16.5503%
7/12/2024,1.6760,1.4804,38.2705,13.8510%
7/15/2024,1.7150,1.4855,38.4176,15.7767%
7/16/2024,1.6980,1.4779,38.1147,14.2665%
7/17/2024,1.6700,1.4173,36.7180,13.0517%
7/18/2024,1.6500,1.4142,36.5634,16.6490%
7/19/2024,1.6170,1.3979,36.2239,14.2999%
7/22/2024,1.5690,1.4272,36.9812,12.3523%
7/23/2024,1.5750,1.4237,36.2506,10.2632%
7/24/2024,1.5220,1.3600,34.5345,6.9121%
7/25/2024,1.4650,1.3383,33.9048,8.0145%
7/26/2024,1.5000,1.3518,34.2049,12.1160%
7/29/2024,1.5570,1.3511,34.2493,15.0266%
7/30/2024,1.5150,1.3260,33.5521,12.1973%
7/31/2024,1.5340,1.3775,34.3001,15.8785%
8/1/2024,1.5900,1.3363,33.5877,15.1757%
8/2/2024,1.4810,1.3042,32.8589,10.9613%
8/5/2024,1.3330,1.2621,31.5952,2.4124%
8/6/2024,1.4100,1.2755,31.9057,11.8692%
8/7/2024,1.4020,1.2611,31.6048,9.8058%
8/8/2024,1.3650,1.3075,32.5992,8.4108%
8/9/2024,1.4140,1.3157,32.8421,8.0296%
8/12/2024,1.4390,1.3224,33.0142,9.3133%
8/13/2024,1.4790,1.3595,33.8927,11.8336%
8/14/2024,1.5330,1.3598,33.8695,12.6212%
8/15/2024,1.5480,1.3942,34.5978,13.7399%
8/16/2024,1.6020,1.3967,34.6957,14.7482%
8/19/2024,1.5640,1.4162,35.2533,12.0665%
8/20/2024,1.5960,1.4091,35.3685,12.5291%
8/21/2024,1.5970,1.4155,35.4870,13.2142%
8/22/2024,1.5940,1.3860,34.8060,12.5547%
8/23/2024,1.5810,1.4064,35.2830,14.0693%
8/26/2024,1.5790,1.3815,34.6773,12.3923%
8/27/2024,1.5650,1.3892,34.7618,13.0290%
8/28/2024,1.5770,1.3708,33.6701,13.6577%
8/29/2024,1.5220,1.3661,33.4528,11.0544%
8/30/2024,1.5460,1.3809,33.8177,13.3182%
9/2/2024,1.5730,1.3790,33.8177,13.5658%
9/3/2024,1.5750,1.3208,32.3556,14.0561%
9/4/2024,1.4450,1.3162,32.1507,9.7857%
9/5/2024,1.4640,1.3135,32.5299,11.3054%
9/6/2024,1.4580,1.2731,31.5618,10.7650%
9/9/2024,1.4700,1.2877,31.7991,15.5570%
9/10/2024,1.4550,1.3026,32.0730,13.0360%
9/11/2024,1.4650,1.3425,33.0585,12.6317%
9/12/2024,1.5380,1.3560,33.4485,14.4516%
9/13/2024,1.5530,1.3600,33.6712,14.5196%
9/18/2024,1.5270,1.3426,33.3852,12.7270%
9/19/2024,1.5570,1.3855,34.3609,15.7793%
9/20/2024,1.5580,1.3750,34.2581,12.4666%
9/23/2024,1.5750,1.3727,34.1845,14.0395%
9/24/2024,1.5600,1.3817,34.4418,13.4545%
9/25/2024,1.5360,1.3816,34.4377,11.0950%
9/26/2024,1.5540,1.3993,34.7330,11.9839%
9/27/2024,1.4790,1.3841,34.5421,5.8546%
9/30/2024,1.4540,1.3888,34.7863,4.7249%
10/8/2024,1.4510,1.4138,34.9794,5.1830%
10/9/2024,1.5200,1.4197,35.1024,8.3624%
10/10/2024,1.5460,1.4235,35.1359,8.6513%
10/11/2024,1.5460,1.4260,35.2060,8.8579%
10/14/2024,1.5550,1.4420,35.6631,9.0157%
10/15/2024,1.6020,1.4150,35.0495,11.0110%
10/16/2024,1.5740,1.4204,35.0281,11.5047%
10/17/2024,1.5940,1.4232,35.0440,12.7697%
10/18/2024,1.5710,1.4288,35.2192,10.4161%
10/21/2024,1.5620,1.4319,35.5265,9.3761%
10/22/2024,1.5600,1.4397,35.7034,8.4840%
10/23/2024,1.5510,1.4142,34.9853,8.0610%
10/24/2024,1.5340,1.4189,35.0542,8.6018%
10/25/2024,1.5220,1.4270,35.3705,7.3040%
10/28/2024,1.5400,1.4331,35.4724,7.5870%
10/29/2024,1.5320,1.4563,35.0796,7.1928%
10/30/2024,1.5830,1.4442,34.4871,8.5734%
10/31/2024,1.5490,1.3951,34.7849,7.4575%
11/1/2024,1.5200,1.4002,34.9343,8.9450%
11/4/2024,1.5240,1.3962,34.7781,8.6399%
11/5/2024,1.5120,1.4106,35.2552,8.4026%
11/6/2024,1.5660,1.4457,36.0008,10.6636%
11/7/2024,1.5630,1.4890,36.7735,7.9420%
11/8/2024,1.5690,1.4758,36.4937,6.2073%
11/11/2024,1.5600,1.4715,36.2556,5.4268%
11/12/2024,1.5370,1.4779,36.4623,4.9792%
11/13/2024,1.5430,1.4693,36.2308,4.5818%
11/14/2024,1.5470,1.4650,36.1860,5.4102%
11/15/2024,1.5340,1.4252,35.2237,4.6885%
11/18/2024,1.5280,1.4316,35.4272,7.4014%
11/19/2024,1.5400,1.4463,35.9183,7.4069%
11/20/2024,1.5530,1.4402,35.0964,7.3329%
11/21/2024,1.5330,1.4387,34.7136,6.5027%
11/22/2024,1.5300,1.4322,34.4792,6.3756%
11/25/2024,1.5330,1.4355,34.5482,7.0755%
11/26/2024,1.5310,1.4420,34.8087,6.5933%
11/27/2024,1.5250,1.4280,34.5248,5.7192%
11/28/2024,1.5120,1.4263,34.5248,6.0383%
11/29/2024,1.5160,1.4379,34.7986,6.1625%
12/2/2024,1.5120,1.4596,35.3191,5.0803%
12/3/2024,1.5280,1.4701,35.5959,4.5787%
12/4/2024,1.5320,1.4921,36.1203,4.3597%
12/5/2024,1.5550,1.4805,35.9583,4.0412%
12/6/2024,1.5390,1.4902,36.1244,3.9233%
12/9/2024,1.5420,1.4850,36.0554,3.3928%
12/10/2024,1.5300,1.4785,36.1603,3.0858%
12/11/2024,1.5300,1.5127,37.0651,3.5393%
12/12/2024,1.5580,1.5002,36.7396,2.7976%
12/13/2024,1.5780,1.5179,36.7866,5.2421%
